sku,client_id,date,name,hits_view_search,hits_view_pdp,hits_tocart,session_view,conv_tocart,revenue,ordered_units,cancellations,delivered_units,returns,adv_view_search_category,adv_view_all,adv_sum_all,position_category
498502943,142461,2022-03-01,Переходная рамка Kia Sorento 2 2012-2021 для линз Hella 3R (секция ближнего),8,13,3,9,33.33,1093,1,0,0,0,0,0,0.0,138.375
493736362,142461,2022-03-02,"Переходная рамка Mazda 6 GH 2009-2013 для линз Hella 3R (ближний галоген), GNX, для автомобилей Мазда 6",37,4,2,39,5.12,1000,1,0,0,0,0,0,0.0,114.62162162162164
511572338,142461,2022-03-02,"Стекло фары, GNX, для автомобилей Honda Civic 4D 8 седан 2006-2009, правое, поликарбонат, переднее для Хонда Цивик из прозрачного материала",12,6,2,14,14.28,2900,1,0,0,0,0,0,0.0,123.0
511581300,142461,2022-03-02,"Стекло фары, GNX, для автомобилей Honda Civic 4D 8 седан 2006-2009, левое, поликарбонат, переднее для Хонда Цивик из прозрачного материала",14,5,2,16,12.5,2900,1,0,0,0,0,0,0.0,105.21428571428572
298264234,142461,2022-03-03,"Биксеноновая линза GNX Hella 3R Crystal Vision, газоразрядная, ксенон (HID), D1S, D2S, D3S, D4S",313,114,17,330,5.15,4900,2,0,0,0,0,0,0.0,143.77316293929712
480448445,142461,2022-03-03,"Линзы для фар GNX Hella 3R H7, D2S",186,59,4,188,2.12,4200,2,0,0,0,0,0,0.0,118.98387096774194
298131122,142461,2022-03-03,"Плата заднего фонаря, GNX, для автомобилей BMW X3 F25 (драйвер), B003809.2, для бмв",88,3,1,90,1.11,1250,1,0,0,0,0,0,0.0,205.8181818181818
500440097,142461,2022-03-03,Переходная рамка Toyota Avensis 2006-2009 для линз Hella 3R (ближний),18,2,0,22,0.0,1000,1,0,0,0,0,0,0.0,198.16666666666663
298264234,142461,2022-03-04,"Биксеноновая линза GNX Hella 3R Crystal Vision, газоразрядная, ксенон (HID), D1S, D2S, D3S, D4S",286,97,10,325,3.07,22050,9,0,0,0,0,0,0.0,50.69580419580419
298131122,142461,2022-03-04,"Плата заднего фонаря, GNX, для автомобилей BMW X3 F25 (драйвер), B003809.2, для бмв",97,12,2,106,1.88,2500,2,0,1,0,0,0,0.0,145.90721649484536
510826946,142461,2022-03-04,Светодиодные линзы MTF Night Assistant Max Beam 3.0 (комплект),11,3,5,12,41.66,35900,2,0,0,0,0,0,0.0,24.272727272727277
493736206,142461,2022-03-04,"Переходная рамка Mazda 6 GG 02-08 для линз Hella R (секция ближнего), GNX, для автомобилей Мазда 6",74,6,3,75,4.0,1150,1,0,0,0,0,0,0.0,78.63513513513513
498857707,142461,2022-03-04,Переходная рамка Subaru Outback 3 2006-2009 для линз Hella 3R (ближний),3,0,0,5,0.0,1000,1,0,0,0,0,0,0.0,135.66666666666666
480448445,142461,2022-03-05,"Линзы для фар GNX Hella 3R H7, D2S",173,37,1,175,0.57,4200,2,0,2,0,0,0,0.0,94.71098265895954
298131122,142461,2022-03-05,"Плата заднего фонаря, GNX, для автомобилей BMW X3 F25 (драйвер), B003809.2, для бмв",128,3,2,124,1.61,1250,1,0,0,0,0,0,0.0,154.453125
497544439,142461,2022-03-05,Переходная рамка Audi A6 C5 97-01 для линз Hella 3R (ближний),3,6,0,5,0.0,1000,1,0,0,0,0,0,0.0,459.6666666666667
511573568,142461,2022-03-05,"Стекло фары Audi Q7 2005-2015, левое, GNX, поликарбонат, для автомобилей Ауди КУ 7",4,4,4,5,80.0,5800,1,0,0,0,0,0,0.0,389.25
511578273,142461,2022-03-05,"Стекло фары Audi Q7 2005-2015, правое, GNX, поликарбонат, для автомобилей Ауди КУ 7",4,8,3,4,75.0,5800,1,0,0,0,0,0,0.0,399.75
480448445,142461,2022-03-06,"Линзы для фар GNX Hella 3R H7, D2S",207,55,4,197,2.03,4200,2,0,2,0,0,0,0.0,120.38647342995168
298264234,142461,2022-03-06,"Биксеноновая линза GNX Hella 3R Crystal Vision, газоразрядная, ксенон (HID), D1S, D2S, D3S, D4S",541,71,6,531,1.12,2450,1,0,2,0,0,0,0.0,217.62661737523104
512115624,142461,2022-03-06,"Стекло фары, GNX, для автомобилей Opel Astra J 2009-2017, левое, поликарбонат, переднее для Опель Астра Джи из прозрачного материала",28,9,2,35,5.71,3200,1,0,0,0,0,0,0.0,2369.714285714286
509389867,142461,2022-03-07,Маска (бленда) для линз №10,94,13,3,106,2.83,700,2,0,0,0,0,0,0.0,158.5531914893617
511572010,142461,2022-03-07,"Стекло фары Mazda 6 GH (2007 - 2012), правое, GNX, поликарбонат, для автомобилей Мазда 6",34,8,4,37,10.81,2800,1,0,0,0,0,0,0.0,711.5294117647059
511572211,142461,2022-03-07,"Стекло фары Mazda 6 GG (2004 - 2008 г.в.), левое, GNX, поликарбонат, для автомобилей Мазда 6",94,3,2,82,2.43,2100,1,0,0,0,0,0,0.0,63.8936170212766
511572364,142461,2022-03-07,"Стекло фары, GNX, для автомобилей Mazda 6 GH (2007 - 2012), левое, поликарбонат, переднее для для Мазда 6из прозрачного материала",92,22,4,82,4.87,2800,1,0,0,0,0,0,0.0,33.56521739130435
511572469,142461,2022-03-07,"Стекло фары Mazda 6 GG (2004 - 2008 г.в.), правое, GNX, поликарбонат, для автомобилей Мазда 6",112,5,0,92,0.0,2100,1,0,0,0,0,0,0.0,17.910714285714285
260902271,142461,2022-03-08,Лампа D2S-NX2S D2S 1V 35W P32d-2 стандарт Xenon Складная картонная коробка (66240)* NEOLUX (D2S-NX2S 35W P32D-2 10X1N),34,3,0,40,0.0,1980,1,0,0,0,0,0,0.0,49.05882352941177
298264234,142461,2022-03-09,"Биксеноновая линза GNX Hella 3R Crystal Vision, газоразрядная, ксенон (HID), D1S, D2S, D3S, D4S",579,124,8,598,1.33,9800,4,0,1,0,0,0,0.0,79.66083916083916
298131122,142461,2022-03-09,"Плата заднего фонаря, GNX, для автомобилей BMW X3 F25 (драйвер), B003809.2, для бмв",90,6,2,118,1.69,1250,1,0,0,0,0,0,0.0,195.94444444444449
498505432,142461,2022-03-09,Переходная рамка Lada 2110 1995-2012 для линз Hella R (ближний),42,6,1,41,2.43,950,1,0,0,0,0,0,0.0,70.35714285714286
511572211,142461,2022-03-09,"Стекло фары Mazda 6 GG (2004 - 2008 г.в.), левое, GNX, поликарбонат, для автомобилей Мазда 6",102,7,7,89,7.86,2600,1,0,0,0,0,0,0.0,25.42156862745098
